WorkstationGroupID,Number of Items,Service Time,Time between arrivals,Regular Checkout Number of Items,Regular Checkout Service Times,Self Checkout Number of Items,Self Checkout Service Times,,,,,,,,
1,11,58,4,15,111,2,176,,,,,,,,
1,18,109,7,21,82,2,85,,,,,,,,
1,12,80,4,16,127,21,314,,,,,,,,
1,24,91,39,15,87,27,618,,,,,,,,
1,13,66,4,19,77,3,143,,,,,,,,
1,14,57,8,7,57,3,67,,,,,,,,
1,4,59,2,4,48,2,53,,,,,,,,
8,10,141,8,12,68,7,170,,,,,,,,
8,5,108,13,16,71,5,148,,,,,,,,
8,4,255,2,33,172,3,56,,,,,,,,
1,43,118,1,33,122,28,335,,,,,,,,
1,17,116,9,10,52,10,218,,,,,,,,
1,19,91,5,4,44,1,130,,,,,,,,
1,1,17,7,2,21,2,59,,,,,,,,
1,3,40,2,16,59,23,334,,,,,,,,
1,6,61,5,2,28,5,205,,,,,,,,
1,6,47,3,2,14,1,63,,,,,,,,
1,6,36,2,14,112,14,858,,,,,,,,
1,26,76,28,13,82,2,101,,,,,,,,
1,26,114,6,9,47,8,157,,,,,,,,
1,26,99,8,6,44,3,80,,,,,,,,
1,11,52,2,23,145,32,398,,,,,,,,
8,9,199,7,7,55,3,68,,,,,,,,
1,36,93,8,11,37,2,55,,,,,,,,
8,4,42,8,7,38,5,369,,,,,,,,
1,11,62,9,15,141,1,45,,,,,,,,
1,25,76,7,23,100,29,224,,,,,,,,
1,1,20,1,6,36,12,321,,,,,,,,
1,15,58,0,17,120,2,63,,,,,,,,
8,14,165,6,24,165,6,209,,,,,,,,
1,8,27,4,40,123,6,120,,,,,,,,
1,15,60,7,26,128,1,28,,,,,,,,
8,14,149,2,3,25,30,335,,,,,,,,
1,21,130,14,64,202,14,200,,,,,,,,
1,5,30,2,4,42,31,230,,,,,,,,
8,30,307,10,3,15,10,181,,,,,,,,
1,13,76,4,1,39,19,170,,,,,,,,
1,7,68,9,2,24,25,292,,,,,,,,
1,9,99,0,4,37,2,72,,,,,,,,
1,3,37,2,50,106,4,135,,,,,,,,
1,3,52,3,1,23,40,298,,,,,,,,
1,4,24,5,11,75,4,119,,,,,,,,
1,8,75,0,43,113,5,70,,,,,,,,
1,4,29,0,20,152,1,56,,,,,,,,
1,20,73,2,19,79,5,119,,,,,,,,
1,31,137,17,45,130,6,122,,,,,,,,
1,4,23,8,3,36,37,403,,,,,,,,
1,13,55,2,25,87,3,171,,,,,,,,
1,9,59,13,1,18,13,208,,,,,,,,
1,20,65,2,22,91,4,188,,,,,,,,
1,11,75,5,16,112,3,106,,,,,,,,
1,5,63,4,7,28,4,76,,,,,,,,
1,21,145,14,18,77,4,349,,,,,,,,
8,1,102,6,8,92,18,477,,,,,,,,
1,24,89,2,8,44,5,137,,,,,,,,
1,8,54,6,20,80,1,74,,,,,,,,
1,2,60,1,4,33,5,162,,,,,,,,
1,28,114,6,5,54,12,140,,,,,,,,
1,25,127,1,13,93,2,97,,,,,,,,
1,33,112,2,14,74,2,73,,,,,,,,
8,11,188,6,20,68,9,192,,,,,,,,
8,5,102,1,8,45,1,62,,,,,,,,
8,5,88,9,5,35,38,476,,,,,,,,
1,11,48,5,19,63,40,331,,,,,,,,
1,23,77,7,79,252,9,209,,,,,,,,
1,3,78,10,68,219,16,172,,,,,,,,
1,7,78,10,4,44,1,39,,,,,,,,
1,4,45,2,18,97,8,141,,,,,,,,
1,15,111,14,13,63,7,114,,,,,,,,
1,21,82,7,10,50,9,116,,,,,,,,
1,16,127,7,11,78,30,407,,,,,,,,
8,7,161,15,2,32,12,136,,,,,,,,
1,15,87,2,10,52,2,83,,,,,,,,
8,9,195,3,28,111,5,120,,,,,,,,
1,19,77,7,1,14,13,178,,,,,,,,
1,7,57,1,15,85,14,399,,,,,,,,
1,4,48,1,41,152,21,201,,,,,,,,
1,12,68,1,9,49,8,299,,,,,,,,
8,4,108,2,15,116,4,102,,,,,,,,
1,16,71,6,9,108,8,113,,,,,,,,
1,33,172,8,12,182,15,266,,,,,,,,
1,33,122,22,30,96,16,242,,,,,,,,
1,10,52,8,10,39,14,164,,,,,,,,
1,4,44,7,20,106,6,343,,,,,,,,
1,2,21,1,17,65,40,467,,,,,,,,
1,16,59,13,10,38,1,64,,,,,,,,
1,2,28,0,11,125,4,96,,,,,,,,
1,2,14,5,9,77,1,81,,,,,,,,
1,14,112,1,4,115,3,107,,,,,,,,
