WorkstationGroupID,Number of Items,Service Time,Time between arrivals,,Evening Times Between Arrivals
1,3,51,4,,
8,9,221,6,,
8,9,120,5,,
1,45,145,12,,
1,15,77,1,,
8,4,229,1,,
1,49,167,22,,
1,25,180,10,,
1,34,171,12,,
1,10,39,1,,
1,19,87,30,,
1,3,41,8,,
1,42,144,3,,
8,21,236,8,,
8,39,421,7,,
8,4,86,15,,
1,14,112,2,,
1,19,105,13,,
1,6,68,1,,
1,28,87,35,,
1,10,81,20,,
8,3,103,9,,
8,6,158,3,,
1,15,96,3,,
1,1,38,1,,
1,1,94,16,,
1,18,157,4,,
1,10,85,4,,
1,11,43,1,,
1,32,148,0,,
8,25,218,12,,
1,12,72,8,,
1,15,145,22,,
1,7,53,20,,
8,17,321,5,,
1,1,18,2,,
1,12,98,11,,
1,6,51,4,,
1,9,114,1,,
1,15,80,9,,
8,21,220,1,,
1,9,64,6,,
1,30,122,25,,
8,4,78,5,,
1,13,63,17,,
1,5,39,0,,
1,11,69,11,,
1,2,15,6,,
1,16,103,0,,
1,3,48,2,,
1,16,159,7,,
1,15,58,13,,
1,9,122,7,,
1,8,54,4,,
1,1,32,1,,
1,14,100,5,,
8,1,83,9,,
1,5,68,4,,
1,1,70,1,,
8,11,193,5,,
1,21,63,7,,
1,21,90,2,,
1,4,113,16,,
1,24,107,20,,
1,25,67,13,,
1,7,45,5,,
1,34,155,1,,
1,10,51,0,,
8,2,69,0,,
8,4,116,12,,
1,7,30,10,,
1,18,150,5,,
8,4,62,6,,
1,7,62,6,,
1,2,56,0,,
1,28,117,3,,
1,9,50,6,,
1,41,132,3,,
1,15,119,7,,
1,17,57,10,,
1,57,147,1,,
8,5,124,20,,
8,8,92,3,,
1,7,94,3,,
1,39,97,0,,
1,15,126,1,,
8,5,105,19,,
1,7,66,1,,
8,2,47,8,,
8,2,121,30,,
1,21,97,2,,
1,18,127,7,,
8,5,62,7,,
1,11,44,2,,
1,14,79,8,,
1,4,72,1,,
1,1,19,0,,
8,9,164,5,,
1,17,77,6,,
1,4,67,1,,
8,5,117,7,,
1,13,53,1,,
8,7,193,13,,
1,14,95,1,,
1,21,78,6,,
1,27,121,24,,
8,39,587,6,,
1,13,92,0,,
1,7,79,1,,
1,17,74,1,,
1,7,39,6,,
1,7,71,4,,
1,12,69,20,,
1,7,61,9,,
1,2,61,1,,
1,6,115,16,,
1,2,22,1,,
8,5,130,16,,
1,5,27,4,,
1,1,9,0,,
1,3,31,1,,
1,13,61,1,,
1,22,83,7,,
1,15,93,3,,
1,7,45,1,,
1,5,52,1,,
1,15,66,1,,
8,3,135,8,,
1,6,45,0,,
1,11,38,8,,
1,22,63,26,,
1,11,57,4,,
1,11,68,1,,
1,1,16,2,,
8,12,243,1,,
1,17,98,3,,
1,15,82,10,,
1,16,158,0,,
1,7,50,2,,
1,11,67,5,,
1,5,43,9,,
1,83,223,8,,
1,12,63,8,,
8,9,136,4,,
1,3,50,14,,
1,1,15,0,,
1,16,65,15,,
1,5,49,4,,
1,2,30,3,,
1,7,35,0,,
8,6,435,13,,
1,11,62,1,,
1,11,122,1,,
1,24,86,12,,
1,13,96,8,,
1,10,110,7,,
1,15,77,1,,
1,2,19,19,,
1,14,81,13,,
1,24,130,11,,
1,12,58,2,,
1,4,50,8,,
8,4,153,5,,
1,12,149,18,,
1,7,57,4,,
1,9,74,13,,
1,7,52,2,,
1,11,43,5,,
1,6,71,1,,
1,9,35,1,,
1,17,78,12,,
8,12,318,10,,
1,31,103,9,,
1,5,59,3,,
1,34,85,2,,
1,4,32,7,,
1,25,159,9,,
1,1,48,8,,
1,4,72,8,,
1,13,48,1,,
1,5,55,9,,
1,8,42,12,,
1,3,20,10,,
1,25,122,4,,
8,10,151,1,,
1,20,81,5,,
1,14,91,6,,
1,26,122,3,,
1,19,72,1,,
1,3,38,4,,
1,50,385,1,,
1,9,64,7,,
1,8,63,26,,
1,9,45,28,,
1,42,144,3,,
1,24,132,2,,
1,24,87,4,,
1,8,90,6,,
1,8,42,1,,
1,28,137,1,,
1,3,47,4,,
8,5,100,15,,
1,8,57,16,,
1,4,33,5,,
1,36,122,7,,
1,14,94,5,,
8,13,192,16,,
1,7,51,7,,
1,7,56,1,,
1,5,54,6,,
1,3,36,5,,
8,1,57,17,,
8,1,49,14,,
1,23,158,0,,
1,19,119,1,,
1,29,108,8,,
1,15,102,0,,
8,3,91,3,,
1,12,70,1,,
1,20,71,5,,
1,13,121,5,,
1,1,63,3,,
8,1,80,9,,
8,2,126,9,,
1,1,18,18,,
1,2,41,20,,
1,21,94,2,,
1,7,53,2,,
1,7,56,14,,
8,20,516,3,,
1,3,33,3,,
8,1,153,3,,
1,4,64,2,,
1,25,162,8,,
1,12,128,7,,
8,3,165,11,,
1,50,165,2,,
1,36,186,3,,
1,4,38,16,,
1,13,67,3,,
8,10,292,12,,
1,12,76,3,,
1,4,57,4,,
1,7,40,8,,
1,15,84,32,,
1,12,55,5,,
1,7,66,8,,
1,11,62,14,,
1,8,47,2,,
1,9,64,10,,
8,8,101,13,,
1,21,97,1,,
1,25,92,2,,
1,7,45,16,,
1,2,48,0,,
8,3,96,3,,
1,1,19,1,,
1,6,59,7,,
1,20,96,11,,
1,25,116,0,,
1,14,90,7,,
1,19,71,5,,
1,8,67,14,,
1,6,137,5,,
1,26,103,10,,
1,2,33,6,,
8,11,187,5,,
1,14,78,4,,
1,18,81,18,,
1,26,104,0,,
8,6,137,4,,
1,11,89,1,,
1,9,50,6,,
1,8,54,5,,
1,1,29,26,,
1,10,52,3,,
1,19,109,6,,
1,3,39,4,,
1,18,109,1,,
1,8,56,4,,
1,10,102,3,,
1,17,108,2,,
1,29,88,1,,
8,7,172,23,,
1,14,98,1,,
1,4,51,3,,
1,11,47,1,,
1,2,19,10,,
1,1,25,8,,
1,5,34,1,,
1,13,69,16,,
1,11,36,8,,
8,25,209,3,,
1,2,16,1,,
1,43,190,5,,
1,13,79,7,,
1,14,52,1,,
1,30,92,2,,
1,3,26,4,,
8,1,82,2,,
1,5,45,2,,
1,2,24,1,,
1,11,51,6,,
1,5,63,11,,
1,7,41,0,,
1,10,51,5,,
1,7,75,1,,
1,1,20,17,,
1,2,129,2,,
1,32,153,1,,
1,20,133,8,,
1,12,45,7,,
1,5,43,2,,
1,17,94,4,,
8,14,154,4,,
1,14,66,1,,
1,4,34,4,,
8,5,77,4,,
8,7,123,4,,
1,33,126,15,,
1,28,123,1,,
1,6,59,4,,
1,20,54,2,,
1,77,299,31,,
1,9,50,16,,
8,6,178,4,,
1,27,100,1,,
1,8,72,1,,
1,16,315,10,,
1,6,54,3,,
1,9,143,7,,
1,8,80,5,,
8,13,289,3,,
1,19,102,7,,
8,2,62,4,,
1,5,37,5,,
8,8,192,7,,
1,11,58,11,,
8,6,165,1,,
1,19,63,1,,
1,11,53,7,,
1,18,62,5,,
1,6,45,21,,
8,8,122,1,,
1,28,122,2,,
1,61,210,9,,
1,1,28,8,,
1,30,86,4,,
1,7,37,5,,
1,5,48,4,,
1,9,50,3,,
1,5,57,4,,
1,17,96,19,,
1,23,89,2,,
1,1,23,14,,
8,11,162,2,,
1,8,86,6,,
1,4,70,1,,
1,37,154,9,,
1,16,167,13,,
1,3,39,16,,
8,2,69,1,,
1,5,42,7,,
8,3,68,6,,
1,11,107,3,,
8,3,105,6,,
1,32,105,3,,
1,45,114,1,,
1,12,66,4,,
1,2,28,10,,
1,10,69,2,,
1,17,109,16,,
1,2,31,10,,
8,9,161,7,,
8,4,169,14,,
1,4,42,1,,
1,22,96,2,,
1,3,95,2,,
8,12,184,1,,
1,14,211,14,,
1,6,41,5,,
8,1,111,1,,
1,18,60,5,,
1,1,40,1,,
8,11,496,6,,
1,16,72,4,,
1,2,18,6,,
1,7,34,2,,
1,8,90,10,,
1,7,26,1,,
1,13,284,1,,
1,8,59,9,,
1,1,19,11,,
1,27,142,4,,
1,3,29,0,,
1,5,46,4,,
1,10,50,7,,
1,9,119,1,,
1,8,63,12,,
1,13,57,5,,
1,10,49,6,,
1,7,52,11,,
1,10,60,4,,
8,8,240,4,,
1,8,45,0,,
1,17,77,0,,
8,13,232,15,,
8,4,243,6,,
1,5,35,3,,
1,21,66,3,,
1,33,124,6,,
1,8,124,12,,
1,13,49,4,,
8,3,114,3,,
1,14,64,4,,
1,10,101,20,,
1,62,224,1,,
1,18,155,0,,
1,1,23,7,,
1,17,63,6,,
1,7,36,4,,
1,20,96,6,,
1,11,88,16,,
1,9,33,10,,
1,23,58,21,,
1,8,36,2,,
1,8,104,2,,
1,34,292,6,,
1,10,53,0,,
1,16,86,6,,
8,12,227,20,,
1,8,51,1,,
1,15,86,4,,
1,13,51,2,,
1,3,27,15,,
1,46,55,5,,
1,36,136,7,,
1,17,115,15,,
1,12,88,0,,
8,1,64,2,,
1,13,66,2,,
8,11,311,3,,
1,5,47,4,,
1,6,47,10,,
1,16,81,5,,
8,17,316,2,,
1,8,58,10,,
1,13,82,16,,
1,31,132,4,,
1,11,61,6,,
8,5,99,4,,
1,10,56,0,,
1,5,50,18,,
1,1,23,2,,
1,3,63,12,,
1,9,70,2,,
1,5,56,7,,
1,2,20,5,,
1,20,81,4,,
1,8,60,1,,
1,8,41,1,,
1,6,48,4,,
1,23,147,5,,
1,7,56,22,,
1,11,170,5,,
8,19,230,2,,
1,2,280,0,,
8,1,42,2,,
1,12,79,3,,
8,31,348,5,,
1,8,81,2,,
1,36,183,8,,
1,10,100,7,,
1,17,91,1,,
1,5,71,9,,
1,4,129,5,,
8,2,103,11,,
1,5,51,28,,
1,8,54,10,,
1,3,32,8,,
1,15,90,5,,
1,79,245,9,,
1,7,60,5,,
1,4,31,2,,
1,19,106,3,,
1,36,132,12,,
1,8,51,10,,
8,4,155,4,,
1,7,36,8,,
8,7,187,6,,
1,29,117,10,,
1,4,32,11,,
8,8,511,1,,
1,35,114,1,,
1,85,310,3,,
1,1,67,6,,
1,3,38,10,,
1,2,61,21,,
1,15,70,2,,
8,3,89,5,,
1,7,74,22,,
1,14,45,1,,
1,9,47,10,,
1,22,101,14,,
1,20,127,0,,
1,8,150,16,,
1,61,137,3,,
1,14,78,1,,
1,15,76,0,,
8,21,334,3,,
1,30,108,4,,
1,16,87,10,,
8,4,87,27,,
8,2,224,5,,
1,28,83,4,,
8,3,267,14,,
1,10,46,9,,
1,18,67,1,,
1,3,30,17,,
1,12,88,10,,
8,1,451,3,,
1,6,54,0,,
1,1,31,4,,
1,9,76,2,,
1,5,66,17,,
1,11,53,2,,
1,29,91,1,,
1,10,60,5,,
1,52,170,5,,
1,7,103,18,,
1,36,129,18,,
1,12,59,3,,
1,1,10,1,,
1,7,75,4,,
1,17,108,5,,
1,19,65,1,,
1,15,49,3,,
1,38,267,27,,
1,10,67,15,,
1,18,99,4,,
1,18,130,4,,
1,18,250,11,,
1,10,50,1,,
1,9,61,10,,
8,14,282,22,,
1,5,129,0,,
1,18,113,5,,
1,20,105,12,,
1,7,40,1,,
1,4,65,11,,
1,7,44,1,,
8,28,394,14,,
8,6,173,3,,
1,14,118,10,,
1,5,71,16,,
1,2,17,9,,
1,14,100,1,,
1,17,87,7,,
1,5,64,15,,
8,5,153,5,,
1,42,135,3,,
1,4,48,15,,
1,1,40,1,,
1,55,178,25,,
1,1,23,7,,
1,1,27,4,,
1,17,160,3,,
1,3,42,2,,
1,11,55,3,,
1,2,75,4,,
1,2,35,5,,
1,20,101,6,,
1,10,67,18,,
1,3,32,4,,
1,13,93,2,,
1,5,42,5,,
8,2,67,8,,
1,4,50,13,,
1,5,44,7,,
1,23,81,3,,
1,15,136,6,,
1,34,134,1,,
1,9,62,3,,
8,2,105,2,,
8,22,356,5,,
8,29,411,10,,
1,11,65,7,,
1,26,107,1,,
1,1,18,1,,
8,12,238,17,,
1,33,108,2,,
1,3,38,4,,
1,31,122,10,,
1,13,82,8,,
1,10,117,1,,
1,10,75,14,,
1,7,55,1,,
1,3,37,22,,
8,2,132,15,,
1,14,104,6,,
1,27,148,4,,
1,1,27,1,,
1,8,78,6,,
1,50,141,4,,
1,30,138,2,,
1,18,126,8,,
1,32,136,6,,
1,8,67,9,,
8,14,190,5,,
1,2,39,13,,
1,5,59,25,,
1,32,108,1,,
